employee_ID,f_Name,l_Name,role,work_email,lic_num,seniority_level
EMP744,Maria,Rivera,Management,salinaspatricia@example.com,LIC-M-2006,Junior
EMP370,William,Wilson,Management,yhenderson@example.org,LIC-M-2101,Senior
EMP554,Brandon,Ashley,Management,jeffreywood@example.org,LIC-M-2415,Junior
EMP208,Renee,Jenkins,Management,swoods@example.net,LIC-M-2280,Senior
EMP502,Elizabeth,Pennington,Management,mnichols@example.com,LIC-M-2414,Junior
EMP271,Rebecca,Garza,Management,anthonymelissa@example.com,LIC-M-2080,Director
EMP109,Joshua,Galloway,Management,loretta60@example.org,LIC-M-2439,Junior
EMP654,Maria,Brown,Management,william66@example.net,LIC-M-2429,Director
EMP975,Karen,Oneill,Management,kelleyjohnathan@example.com,LIC-M-2250,Senior
EMP663,James,Hughes,Management,lgutierrez@example.com,LIC-M-2361,Senior
EMP751,David,Brooks,Management,zjohnson@example.org,LIC-M-2608,Junior
EMP988,Ashley,Cummings,Management,qalvarez@example.com,LIC-M-2784,Junior
EMP459,Maria,Adams,Management,danielle21@example.com,LIC-M-2514,Director
EMP707,Mario,Williams,Management,palmerkristy@example.net,LIC-M-2077,Senior
EMP679,John,Soto,Management,brucegarza@example.com,LIC-M-2384,Senior
EMP733,Curtis,Lamb,Management,david86@example.com,LIC-M-2640,Director
EMP530,Samantha,Anderson,Management,afrazier@example.org,LIC-M-2419,Director
EMP999,Sarah,Bailey,Management,yhanson@example.net,LIC-M-2327,Junior
EMP909,Kelsey,Cole,Management,cwright@example.net,LIC-M-2760,Junior
EMP615,Katie,Odom,Management,wangmicheal@example.org,LIC-M-2923,Junior
EMP668,Maureen,Hernandez,Management,selenaayala@example.com,LIC-M-2347,Junior
EMP287,Paul,Thomas,Management,kimjason@example.net,LIC-M-2345,Junior
EMP533,Travis,Sweeney,Management,nfrench@example.org,LIC-M-2439,Director
EMP110,Anthony,Adams,Management,melanie57@example.com,LIC-M-2795,Junior
EMP580,Laura,Cherry,Management,gina46@example.net,LIC-M-2504,Junior
EMP361,William,Vega,Management,erica48@example.com,LIC-M-2664,Junior
EMP908,Jessica,Barron,Management,martinnatalie@example.net,LIC-M-2425,Junior
EMP417,Christian,Ali,Management,brendaortiz@example.org,LIC-M-2052,Senior
EMP971,Andrew,Hernandez,Management,amy14@example.net,LIC-M-2727,Junior
EMP231,Robert,Rodriguez,Management,ashley58@example.org,LIC-M-2406,Junior
EMP385,Sean,Spencer,Management,griffithwilliam@example.org,LIC-M-2289,Junior
EMP721,Gregory,Yang,Management,santiagotaylor@example.net,LIC-M-2235,Senior
EMP227,Bruce,King,Management,zvillanueva@example.net,LIC-M-2268,Senior
EMP842,Patrick,Perez,Management,nharris@example.net,LIC-M-2597,Senior
EMP333,Cynthia,Briggs,Management,reevesarthur@example.net,LIC-M-2776,Director
EMP685,Rebecca,Molina,Management,elizabeth46@example.com,LIC-M-2377,Senior
EMP373,Brent,Jones,Management,nsanchez@example.com,LIC-M-2640,Senior
EMP101,Deborah,Trujillo,Management,jimenezjoseph@example.com,LIC-M-2423,Senior
EMP814,Shannon,Turner,Management,davidmeyer@example.net,LIC-M-2971,Junior
EMP288,Lisa,Gallagher,Management,katrinatran@example.net,LIC-M-2890,Director
EMP991,Leslie,Frazier,Management,ryan18@example.org,LIC-M-2662,Senior
EMP678,Kelly,Baker,Management,alexis16@example.net,LIC-M-2121,Senior
EMP961,David,Chambers,Management,charlesmiller@example.net,LIC-M-2580,Director
EMP702,Jessica,Wiggins,Management,blankenshipkenneth@example.org,LIC-M-2263,Senior
EMP230,Sarah,Johnson,Management,danielle94@example.org,LIC-M-2995,Junior
EMP293,Brian,Greene,Management,tammy69@example.org,LIC-M-2876,Junior
EMP136,Madison,Grant,Management,jlynch@example.org,LIC-M-2966,Director
EMP848,Devon,Atkinson,Management,fwhite@example.net,LIC-M-2132,Director
EMP194,Joseph,Stephens,Management,qbuck@example.net,LIC-M-2375,Junior
EMP643,Jessica,Lynch,Management,heatherwalker@example.org,LIC-M-2944,Director
EMP178,Clifford,Barnes,Management,kylewilson@example.com,LIC-M-2389,Director
EMP241,Shirley,Chambers,Management,james90@example.net,LIC-M-2113,Junior
EMP249,Donald,Mendoza,Management,charles76@example.net,LIC-M-2791,Director
EMP175,Christopher,Ramos,Management,peter72@example.org,LIC-M-2626,Junior
EMP162,Sheri,Good,Management,juliemartin@example.com,LIC-M-2308,Director
EMP604,Christina,Flores,Management,juanford@example.net,LIC-M-2244,Junior
EMP184,Emily,Neal,Management,timothydelacruz@example.org,LIC-M-2678,Senior
EMP321,Jocelyn,Farmer,Management,amy17@example.com,LIC-M-2164,Junior
EMP872,Jeff,James,Management,vanessa06@example.com,LIC-M-2687,Senior
EMP624,Peggy,Davis,Management,george23@example.com,LIC-M-2367,Junior
EMP757,Andrew,Rice,Management,bgray@example.net,LIC-M-2929,Junior
EMP275,Elizabeth,Davis,Management,brandtdonald@example.com,LIC-M-2804,Director
EMP690,Tara,Li,Management,ycardenas@example.com,LIC-M-2895,Junior
EMP802,Michael,Collins,Management,zbaker@example.org,LIC-M-2334,Junior
EMP691,Andrea,Winters,Management,xcook@example.com,LIC-M-2502,Junior
EMP285,Cory,Davis,Management,scottrocha@example.org,LIC-M-2505,Junior
EMP652,Melanie,Suarez,Management,larrywilliams@example.net,LIC-M-2122,Senior
EMP455,Robert,Lowe,Management,james54@example.com,LIC-M-2212,Director
EMP778,Debra,Harmon,Management,kcaldwell@example.org,LIC-M-2608,Senior
EMP386,Heidi,Fields,Management,jamesbradshaw@example.com,LIC-M-2691,Senior
EMP310,Tina,Schultz,Management,gtrujillo@example.com,LIC-M-2363,Senior
EMP464,John,Villa,Management,cantujulie@example.org,LIC-M-2665,Director
EMP247,Michael,Burns,Management,peterespinoza@example.net,LIC-M-2625,Junior
EMP602,Steven,Wilson,Management,johnsonjames@example.org,LIC-M-2484,Junior
EMP816,James,Webster,Management,kellygrace@example.net,LIC-M-2814,Junior
EMP508,John,Berry,Management,lnelson@example.org,LIC-M-2086,Senior
EMP711,Daniel,Wilson,Management,petersashley@example.com,LIC-M-2259,Senior
EMP216,Michael,Howell,Management,diane37@example.org,LIC-M-2072,Senior
EMP518,Kristy,Martin,Management,agibson@example.org,LIC-M-2237,Junior
EMP322,Jeanette,Mcpherson,Management,adamsmichelle@example.net,LIC-M-2373,Senior
EMP964,Jennifer,Nguyen,Management,lisa51@example.org,LIC-M-2900,Senior
EMP463,Anita,Mueller,Management,bcampbell@example.org,LIC-M-2567,Senior
EMP496,Eric,Armstrong,Management,ppeterson@example.net,LIC-M-2609,Director
EMP446,Patrick,House,Management,tracy64@example.org,LIC-M-2708,Junior
EMP639,Eric,Matthews,Management,adam07@example.org,LIC-M-2299,Director
EMP253,George,Parker,Management,fritznicole@example.net,LIC-M-2158,Junior
EMP837,Melissa,Carlson,Management,robert16@example.org,LIC-M-2353,Junior
EMP504,Andrea,Ross,Management,jacksonjacqueline@example.net,LIC-M-2205,Senior
EMP705,Julia,Randall,Management,andrewbrown@example.net,LIC-M-2434,Junior
EMP998,Linda,Miller,Management,leonjason@example.org,LIC-M-2642,Junior
EMP191,Diana,Wilson,Management,iperry@example.org,LIC-M-2210,Senior
EMP877,Richard,Miller,Management,alvarezallen@example.org,LIC-M-2899,Senior
EMP832,Daniel,Ramos,Management,markmorris@example.org,LIC-M-2824,Director
EMP540,Christian,Schwartz,Management,lynn45@example.net,LIC-M-2774,Senior
EMP775,Lindsey,Smith,Management,lawrence30@example.net,LIC-M-2235,Director
EMP694,Douglas,Murillo,Management,harrisonmichael@example.com,LIC-M-2929,Director
EMP544,Joann,Jones,Management,dhayes@example.org,LIC-M-2339,Director
EMP264,James,Walker,Management,meaganschultz@example.net,LIC-M-2789,Junior
EMP672,Lori,Morgan,Management,sarahsmith@example.com,LIC-M-2909,Director
EMP393,Andrea,Henderson,Management,donald75@example.com,LIC-M-2872,Junior
EMP215,Brooke,King,Management,ccooper@example.net,LIC-M-2259,Junior
EMP836,Stacey,Chandler,Management,laurengomez@example.org,LIC-M-2751,Director
EMP317,April,Johnson,Management,robertswilliam@example.com,LIC-M-2714,Senior
EMP198,Anna,Hicks,Management,derekolson@example.com,LIC-M-2531,Senior
EMP924,Mark,Edwards,Management,jerry21@example.com,LIC-M-2972,Junior
EMP902,Eileen,Fry,Management,butlerjessica@example.net,LIC-M-2835,Senior
EMP827,Pamela,Owens,Management,edwarddaniels@example.org,LIC-M-2016,Director
EMP573,Richard,Valencia,Management,samanthanelson@example.org,LIC-M-2569,Senior
EMP925,Michael,Richards,Management,bsmith@example.net,LIC-M-2680,Junior
EMP987,Christopher,Russell,Management,osanders@example.com,LIC-M-2685,Senior
EMP747,Christopher,Nolan,Management,lharrison@example.com,LIC-M-2338,Director
EMP461,Timothy,Diaz,Management,hsummers@example.net,LIC-M-2080,Junior
EMP725,Robin,Campos,Management,bguzman@example.org,LIC-M-2496,Senior
EMP272,Rebecca,Buck,Management,ryanmeyer@example.org,LIC-M-2467,Director
EMP911,Daniel,Smith,Management,epeterson@example.com,LIC-M-2316,Junior
EMP782,Gregory,Mclean,Management,james58@example.com,LIC-M-2520,Senior
EMP429,Julie,Hanson,Management,wilsonalejandro@example.net,LIC-M-2674,Director
EMP130,Joel,Jones,Management,saraosborn@example.org,LIC-M-2160,Junior
EMP509,Donna,Rivera,Management,ulewis@example.net,LIC-M-2944,Junior
EMP166,Timothy,Jackson,Management,nthomas@example.net,LIC-M-2912,Junior
EMP884,Edward,Miller,Management,jessica03@example.net,LIC-M-2392,Senior
EMP176,Daniel,Brown,Management,dgoodman@example.net,LIC-M-2501,Director
EMP497,Trevor,Allen,Management,edward97@example.com,LIC-M-2099,Junior
EMP284,Patricia,Pope,Management,xwright@example.org,LIC-M-2820,Senior
EMP134,Cheyenne,Patton,Technician,donna32@example.net,LIC-T-1667,Junior
EMP811,Paula,Scott,Lead_Tech,waltersstacie@example.com,LIC-T-1942,Senior
EMP514,Melissa,Yang,Supervisor_Tech,wharper@example.org,LIC-T-1278,Senior
EMP862,James,Morrison,Lead_Tech,teresa86@example.net,LIC-T-1183,Senior
EMP149,Dorothy,Carter,Lead_Tech,tcraig@example.net,LIC-T-1894,Senior
EMP291,David,Watson,Supervisor_Tech,carterrachel@example.org,LIC-T-1152,Senior
EMP638,Ashley,Stevens,Supervisor_Tech,perrykevin@example.com,LIC-T-1187,Senior
EMP792,Valerie,Lopez,Technician,nguyenmelissa@example.com,LIC-T-1933,Mid
EMP890,Alexa,Jacobs,Technician,kimberlytaylor@example.net,LIC-T-1208,Mid
EMP229,Justin,Long,Technician,deborahhopkins@example.org,LIC-T-1156,Mid
EMP755,Eric,Edwards,Supervisor_Tech,banderson@example.net,LIC-T-1098,Senior
EMP873,Thomas,Foster,Lead_Tech,christineabbott@example.org,LIC-T-1774,Senior
EMP868,Joshua,Burton,Technician,xperez@example.net,LIC-T-1135,Mid
EMP326,Kelsey,Santana,Technician,clairewilliams@example.org,LIC-T-1822,Junior
EMP313,James,Powers,Lead_Tech,oparks@example.net,LIC-T-1405,Senior
EMP618,Christopher,Harrison,Technician,wilsonamanda@example.com,LIC-T-1736,Junior
EMP426,Andrea,Ramos,Lead_Tech,denisegilbert@example.net,LIC-T-1624,Senior
EMP559,Jessica,Lyons,Lead_Tech,vanessa95@example.net,LIC-T-1316,Senior
EMP492,Nicholas,Scott,Technician,steven79@example.net,LIC-T-1932,Mid
EMP557,Andrea,Martinez,Technician,pwilliams@example.net,LIC-T-1402,Mid
EMP138,Olivia,Lane,Lead_Tech,cathycampbell@example.org,LIC-T-1251,Senior
EMP829,Claudia,Hernandez,Supervisor_Tech,jhuff@example.com,LIC-T-1094,Senior
EMP979,Robin,Mckinney,Technician,karen30@example.org,LIC-T-1918,Junior
EMP224,Matthew,Taylor,Technician,ryanhill@example.org,LIC-T-1095,Mid
EMP158,Michael,Clark,Supervisor_Tech,ogomez@example.com,LIC-T-1270,Senior
EMP258,Andrew,Jones,Supervisor_Tech,gouldjasmine@example.org,LIC-T-1675,Senior
EMP303,Allison,Hayes,Lead_Tech,kellylarry@example.org,LIC-T-1939,Senior
EMP919,Lisa,Ramirez,Technician,lloydmitchell@example.org,LIC-T-1445,Mid
EMP437,Brooke,Villanueva,Technician,darrylflynn@example.org,LIC-T-1284,Junior
EMP380,Mark,Duran,Supervisor_Tech,pierceronald@example.com,LIC-T-1517,Senior
EMP920,Andre,Cannon,Technician,lucas22@example.net,LIC-T-1701,Mid
EMP168,Dylan,Owens,Lead_Tech,weaverwilliam@example.net,LIC-T-1436,Senior
EMP129,Ryan,Lewis,Lead_Tech,caleb23@example.org,LIC-T-1659,Senior
EMP553,Tara,Ball,Supervisor_Tech,guy23@example.org,LIC-T-1231,Senior
EMP560,Meredith,Hart,Supervisor_Tech,douglasramirez@example.com,LIC-T-1971,Senior
EMP378,Justin,Reyes,Lead_Tech,brenda94@example.org,LIC-T-1722,Senior
EMP112,William,Johnson,Supervisor_Tech,iwilson@example.net,LIC-T-1368,Senior
EMP954,Stephanie,Jones,Lead_Tech,lindseywalker@example.org,LIC-T-1646,Senior
EMP548,Andrew,Boone,Technician,aaronhoward@example.net,LIC-T-1801,Junior
EMP267,Michael,Andrews,Supervisor_Tech,srojas@example.com,LIC-T-1773,Senior
EMP331,Patrick,Reed,Lead_Tech,adam98@example.com,LIC-T-1572,Senior
EMP409,Stephen,Parks,Lead_Tech,gonzalessarah@example.net,LIC-T-1434,Senior
EMP302,Meghan,Paul,Lead_Tech,amurray@example.net,LIC-T-1349,Senior
EMP709,Crystal,Greene,Lead_Tech,jjones@example.com,LIC-T-1655,Senior
EMP336,Christine,Bender,Technician,michellemiller@example.net,LIC-T-1480,Junior
EMP424,Daniel,Watkins,Technician,wmosley@example.com,LIC-T-1191,Junior
EMP627,Jared,Smith,Lead_Tech,browncassidy@example.com,LIC-T-1297,Senior
EMP907,Michael,Gray,Lead_Tech,kevin57@example.com,LIC-T-1182,Senior
EMP259,Karen,Swanson,Technician,janespears@example.org,LIC-T-1194,Junior
EMP910,Jonathan,Hughes,Lead_Tech,benjamin24@example.org,LIC-T-1614,Senior
EMP977,Keith,Jensen,Supervisor_Tech,tammie85@example.org,LIC-T-1670,Senior
EMP726,Eddie,Johnston,Technician,alexandrascott@example.com,LIC-T-1574,Junior
EMP220,Megan,Wright,Supervisor_Tech,normajohnson@example.org,LIC-T-1060,Senior
EMP498,Brian,Savage,Supervisor_Tech,chelsea05@example.com,LIC-T-1878,Senior
EMP918,Mark,Sullivan,Supervisor_Tech,vmeyers@example.net,LIC-T-1888,Senior
EMP545,Jenna,Hawkins,Supervisor_Tech,williamsscott@example.net,LIC-T-1873,Senior
EMP770,Kevin,Williams,Technician,rebeccajacobs@example.com,LIC-T-1052,Mid
EMP453,Deborah,Austin,Lead_Tech,harveydebra@example.net,LIC-T-1868,Senior
EMP489,Wendy,Livingston,Lead_Tech,xhouston@example.com,LIC-T-1809,Senior
EMP860,Robin,Rose,Technician,qmason@example.net,LIC-T-1688,Junior
EMP906,Carolyn,Wilson,Technician,herrerabrooke@example.net,LIC-T-1246,Junior
EMP606,Charles,Payne,Supervisor_Tech,benglish@example.net,LIC-T-1790,Senior
EMP932,Victoria,Brown,Lead_Tech,griffithstephanie@example.org,LIC-T-1283,Senior
EMP440,Cheryl,Lee,Lead_Tech,uwhite@example.com,LIC-T-1069,Senior
EMP501,Gloria,Miller,Lead_Tech,dianadiaz@example.com,LIC-T-1794,Senior
EMP681,Michael,Lopez,Technician,meyerdonald@example.net,LIC-T-1237,Mid
EMP474,Lynn,Summers,Supervisor_Tech,xadams@example.com,LIC-T-1120,Senior
EMP835,Kristy,Hughes,Supervisor_Tech,ethompson@example.org,LIC-T-1868,Senior
EMP786,Jeremy,Lara,Technician,richardalexander@example.org,LIC-T-1944,Mid
EMP106,John,Prince,Supervisor_Tech,taylormorrison@example.net,LIC-T-1205,Senior
EMP160,Gregory,Miller,Technician,brucewashington@example.net,LIC-T-1828,Mid
EMP146,Kayla,West,Lead_Tech,lederek@example.org,LIC-T-1471,Senior
EMP295,Theresa,Jones,Technician,norman12@example.org,LIC-T-1069,Junior
EMP299,Dawn,Logan,Supervisor_Tech,zgarcia@example.com,LIC-T-1301,Senior
EMP173,Justin,Wilson,Technician,kelly76@example.org,LIC-T-1741,Junior
EMP669,Linda,Thomas,Supervisor_Tech,romerojason@example.com,LIC-T-1294,Senior
EMP399,Michael,Martinez,Lead_Tech,henrynoah@example.net,LIC-T-1712,Senior
EMP655,Chad,Bell,Technician,heatherkeller@example.com,LIC-T-1868,Mid
EMP332,Danielle,Gray,Lead_Tech,justin36@example.org,LIC-T-1919,Senior
EMP225,Jessica,Chase,Lead_Tech,sarahshort@example.net,LIC-T-1792,Senior
EMP338,Anna,Santana,Supervisor_Tech,williamrivera@example.org,LIC-T-1074,Senior
EMP724,Wendy,Crawford,Supervisor_Tech,benjamin79@example.com,LIC-T-1599,Senior
EMP406,Richard,White,Technician,gutierrezalyssa@example.net,LIC-T-1345,Mid
EMP599,Julie,Davis,Lead_Tech,kathleen71@example.org,LIC-T-1536,Senior
EMP513,Teresa,Cobb,Supervisor_Tech,smithdonna@example.org,LIC-T-1811,Senior
EMP644,Donna,Jackson,Supervisor_Tech,uwells@example.com,LIC-T-1227,Senior
EMP595,Rachel,Le,Supervisor_Tech,jamesfoley@example.net,LIC-T-1533,Senior
EMP626,Wayne,Cordova,Supervisor_Tech,wallcorey@example.com,LIC-T-1389,Senior
EMP228,Chad,Garrett,Technician,fgutierrez@example.org,LIC-T-1182,Mid
EMP491,Chris,Rodriguez,Supervisor_Tech,christopher07@example.com,LIC-T-1704,Senior
EMP539,Amanda,Wright,Technician,mayomarissa@example.net,LIC-T-1540,Mid
EMP727,Patricia,George,Supervisor_Tech,vbrewer@example.com,LIC-T-1041,Senior
EMP695,Mario,Gregory,Technician,kellyjeff@example.org,LIC-T-1806,Junior
EMP854,Theresa,Patton,Technician,derrick88@example.net,LIC-T-1173,Mid
EMP368,Dale,Griffith,Technician,christopher76@example.org,LIC-T-1575,Mid
EMP893,Edward,Snyder,Supervisor_Tech,ryansanchez@example.org,LIC-T-1989,Senior
EMP766,James,Walker,Lead_Tech,scottshelby@example.org,LIC-T-1266,Senior
EMP710,Hayley,Kennedy,Supervisor_Tech,bankskelly@example.net,LIC-T-1053,Senior
EMP790,Kristi,Larson,Lead_Tech,kathleen93@example.org,LIC-T-1165,Senior
EMP959,Tina,Davis,Technician,ianshaw@example.org,LIC-T-1299,Junior
EMP981,Nancy,Cortez,Lead_Tech,rachelmoore@example.org,LIC-T-1928,Senior
EMP251,Jeffrey,Gonzalez,Lead_Tech,sharon81@example.com,LIC-T-1396,Senior
EMP365,Kathryn,Yoder,Lead_Tech,robertschwartz@example.com,LIC-T-1409,Senior
EMP115,Hayden,Hartman,Lead_Tech,danielmiles@example.net,LIC-T-1738,Senior
EMP742,Zachary,Salazar,Supervisor_Tech,cabrerajonathan@example.org,LIC-T-1751,Senior
EMP151,Stephen,Lutz,Supervisor_Tech,mahoneylisa@example.com,LIC-T-1166,Senior
EMP449,Teresa,Oneill,Technician,suarezteresa@example.net,LIC-T-1650,Junior
EMP887,Omar,Hoover,Technician,richardsonjulia@example.net,LIC-T-1882,Mid
EMP720,James,Peterson,Technician,lauraolsen@example.org,LIC-T-1065,Junior
EMP471,Kristin,Taylor,Technician,kyle17@example.net,LIC-T-1948,Mid
EMP286,Kathy,Hudson,Supervisor_Tech,michael77@example.net,LIC-T-1693,Senior
EMP289,Katherine,Smith,Supervisor_Tech,xavier65@example.com,LIC-T-1477,Senior
EMP328,Katie,Ortiz,Lead_Tech,dmiller@example.org,LIC-T-1753,Senior
EMP341,Robert,Jackson,Supervisor_Tech,tammy17@example.com,LIC-T-1518,Senior
EMP960,Gloria,Herman,Supervisor_Tech,kennedybrandy@example.org,LIC-T-1043,Senior
EMP773,Jamie,Scott,Technician,jordantodd@example.net,LIC-T-1105,Mid
EMP213,Becky,Mcgee,Lead_Tech,zacharymorgan@example.com,LIC-T-1636,Senior
EMP174,Mark,Jordan,Technician,johnsmith@example.com,LIC-T-1564,Mid
EMP550,Victoria,Mcknight,Lead_Tech,cgarcia@example.org,LIC-T-1349,Senior
EMP246,Andrew,Jackson,Supervisor_Tech,ochoaholly@example.net,LIC-T-1568,Senior
EMP519,Brenda,Hobbs,Lead_Tech,dyerjeremiah@example.net,LIC-T-1055,Senior
EMP645,Richard,Ellis,Supervisor_Tech,ewatson@example.org,LIC-T-1609,Senior
EMP817,William,Smith,Supervisor_Tech,nicholas66@example.org,LIC-T-1715,Senior
EMP936,Valerie,Patel,Lead_Tech,ubrown@example.net,LIC-T-1173,Senior
EMP375,Daniel,Rogers,Supervisor_Tech,melissa05@example.net,LIC-T-1397,Senior
EMP611,Gary,Green,Technician,emilymonroe@example.com,LIC-T-1784,Mid
EMP952,Christopher,James,Supervisor_Tech,mayermichael@example.net,LIC-T-1735,Senior
EMP746,Jessica,Montoya,Supervisor_Tech,reynoldskaren@example.org,LIC-T-1386,Senior
EMP845,James,Yu,Supervisor_Tech,charlessmith@example.com,LIC-T-1609,Senior
EMP388,Cheryl,Williams,Technician,robert12@example.com,LIC-T-1797,Mid
EMP897,Tyler,Bowman,Lead_Tech,anna86@example.net,LIC-T-1933,Senior
EMP781,Kathleen,Collins,Lead_Tech,loretta02@example.net,LIC-T-1567,Senior
EMP700,Lindsay,Bridges,Supervisor_Tech,alvaradoclaire@example.com,LIC-T-1877,Senior
EMP993,John,Brown,Technician,egalloway@example.org,LIC-T-1883,Mid
EMP436,Zachary,Powers,Lead_Tech,melissa48@example.com,LIC-T-1270,Senior
