employee_ID,lic_No
EMP305,LIC-T-1036
EMP686,LIC-T-1305
EMP895,LIC-T-1706
EMP420,LIC-T-1501
EMP665,LIC-T-1191
EMP416,LIC-T-1053
EMP834,LIC-T-1658
EMP582,LIC-T-1977
EMP683,LIC-T-1180
EMP992,LIC-T-1022
EMP415,LIC-T-1270
EMP939,LIC-T-1106
EMP646,LIC-T-1492
EMP120,LIC-T-1432
EMP577,LIC-T-1153
EMP965,LIC-T-1037
EMP143,LIC-T-1724
EMP398,LIC-T-1980
EMP581,LIC-T-1215
EMP948,LIC-T-1516
EMP238,LIC-T-1541
EMP182,LIC-T-1519
EMP805,LIC-T-1601
EMP183,LIC-T-1957
EMP193,LIC-T-1553
EMP460,LIC-T-1195
EMP125,LIC-T-1448
EMP425,LIC-T-1876
EMP410,LIC-T-1575
EMP467,LIC-T-1571
EMP945,LIC-T-1504
EMP649,LIC-T-1555
EMP447,LIC-T-1412
EMP670,LIC-T-1552
EMP656,LIC-T-1987
EMP163,LIC-T-1467
EMP667,LIC-T-1523
EMP131,LIC-T-1351
EMP476,LIC-T-1766
EMP986,LIC-T-1967
EMP718,LIC-T-1444
EMP574,LIC-T-1783
EMP371,LIC-T-1580
EMP867,LIC-T-1150
EMP346,LIC-T-1154
EMP450,LIC-T-1302
EMP676,LIC-T-1175
EMP348,LIC-T-1718
EMP307,LIC-T-1557
EMP377,LIC-T-1512
EMP283,LIC-T-1627
EMP753,LIC-T-1865
EMP629,LIC-T-1997
EMP736,LIC-T-1628
EMP359,LIC-T-1764
EMP640,LIC-T-1290
EMP716,LIC-T-1997
EMP199,LIC-T-1520
EMP523,LIC-T-1258
EMP148,LIC-T-1501
EMP938,LIC-T-1980
EMP865,LIC-T-1929
EMP687,LIC-T-1592
EMP722,LIC-T-1199
EMP364,LIC-T-1553
EMP760,LIC-T-1585
EMP541,LIC-T-1066
EMP563,LIC-T-1448
EMP452,LIC-T-1591
EMP384,LIC-T-1925
EMP290,LIC-T-1033
EMP277,LIC-T-1841
EMP405,LIC-T-1243
EMP843,LIC-T-1704
EMP366,LIC-T-1616
EMP430,LIC-T-1825
EMP363,LIC-T-1385
EMP236,LIC-T-1865
EMP465,LIC-T-1083
EMP214,LIC-T-1408
EMP869,LIC-T-1194
EMP598,LIC-T-1183
EMP820,LIC-T-1767
EMP966,LIC-T-1440
EMP223,LIC-T-1147
EMP233,LIC-T-1697
EMP797,LIC-T-1209
EMP255,LIC-T-1021
EMP521,LIC-T-1547
EMP664,LIC-T-1825
EMP244,LIC-T-1619
EMP642,LIC-T-1396
EMP525,LIC-T-1848
EMP699,LIC-T-1013
EMP719,LIC-T-1873
EMP144,LIC-T-1362
EMP651,LIC-T-1746
EMP522,LIC-T-1111
EMP280,LIC-T-1880
EMP468,LIC-T-1094
EMP457,LIC-T-1415
EMP354,LIC-T-1719
EMP427,LIC-T-1451
EMP735,LIC-T-1187
EMP327,LIC-T-1479
EMP738,LIC-T-1461
EMP569,LIC-T-1300
EMP847,LIC-T-1936
EMP824,LIC-T-1033
EMP204,LIC-T-1633
EMP767,LIC-T-1629
EMP601,LIC-T-1033
EMP844,LIC-T-1716
EMP585,LIC-T-1131
EMP124,LIC-T-1856
EMP116,LIC-T-1485
EMP527,LIC-T-1849
EMP529,LIC-T-1567
EMP985,LIC-T-1979
EMP809,LIC-T-1222
EMP335,LIC-T-1135
EMP593,LIC-T-1627
EMP211,LIC-T-1934
EMP170,LIC-T-1069
EMP266,LIC-T-1874
EMP944,LIC-T-1733
EMP472,LIC-T-1339
EMP641,LIC-T-1315
EMP274,LIC-T-1877
EMP866,LIC-T-1841
EMP610,LIC-T-1049
EMP478,LIC-T-1158
EMP239,LIC-T-1785
EMP853,LIC-T-1291
EMP885,LIC-T-1168
EMP102,LIC-T-1858
EMP575,LIC-T-1420
EMP620,LIC-T-1801
